year,region,gender,mortality
2020,Дніпропетровська,Чоловіки,18.664554184343526
2021,Дніпропетровська,Чоловіки,21.427649232508557
2005,Донецька,Чоловіки,20.873826159063508
2006,Донецька,Чоловіки,20.156745576167658
2007,Донецька,Чоловіки,20.751922690953933
2008,Донецька,Чоловіки,20.839169818368585
2009,Донецька,Чоловіки,18.607310028685941
2010,Донецька,Чоловіки,18.1301063314798
2011,Донецька,Чоловіки,17.536263908376675
2012,Донецька,Чоловіки,17.581970608838439
2013,Донецька,Чоловіки,17.452857586601379
2014,Донецька,Чоловіки,17.964995049157338
2015,Донецька,Чоловіки,9.961644427637621
2016,Донецька,Чоловіки,9.3000448881890154
2017,Донецька,Чоловіки,9.5915641739920368
2018,Донецька,Чоловіки,10.475851899221462
2019,Донецька,Чоловіки,10.636944228544525
2020,Донецька,Чоловіки,9.6527871668110414
2021,Донецька,Чоловіки,11.546671319151869
2005,Житомирська,Чоловіки,20.934491318319726
2006,Житомирська,Чоловіки,20.187951189183309
2007,Житомирська,Чоловіки,20.768559696695398
2008,Житомирська,Чоловіки,20.397520710411825
2009,Житомирська,Чоловіки,18.255710233821421
2010,Житомирська,Чоловіки,17.409043628474876
2011,Житомирська,Чоловіки,16.903291364872416
2012,Житомирська,Чоловіки,17.235214673401916
2013,Житомирська,Чоловіки,17.548150412717824
2014,Житомирська,Чоловіки,18.119884966107303
2015,Житомирська,Чоловіки,17.762059377153616
2016,Житомирська,Чоловіки,17.090448602710044
2017,Житомирська,Чоловіки,17.18747019376007
2018,Житомирська,Чоловіки,17.620430131930636
2019,Житомирська,Чоловіки,17.306934039317298
2020,Житомирська,Чоловіки,18.743218790454186
2021,Житомирська,Чоловіки,20.480894781398419
2005,Закарпатська,Чоловіки,14.557726844835528
2006,Закарпатська,Чоловіки,14.095856515103542
2007,Закарпатська,Чоловіки,14.763480447705817
2008,Закарпатська,Чоловіки,14.36848359979666
2009,Закарпатська,Чоловіки,13.744958583406104
2010,Закарпатська,Чоловіки,12.555770255975593
2011,Закарпатська,Чоловіки,12.324699724887607
2012,Закарпатська,Чоловіки,12.427729235008309
2013,Закарпатська,Чоловіки,12.448969389965507
2014,Закарпатська,Чоловіки,12.471721290356898
2015,Закарпатська,Чоловіки,13.024369297900948
2016,Закарпатська,Чоловіки,12.841485223507808
2017,Закарпатська,Чоловіки,12.509217448941547
2018,Закарпатська,Чоловіки,13.083926337676969
2019,Закарпатська,Чоловіки,13.280756417760958
2020,Закарпатська,Чоловіки,14.243915414283816
2021,Закарпатська,Чоловіки,15.572474787898191
2005,Запорізька,Чоловіки,18.444688659202708
2006,Запорізька,Чоловіки,18.50241619787996
2007,Запорізька,Чоловіки,19.043471140484019
2008,Запорізька,Чоловіки,18.626068596024616
2009,Запорізька,Чоловіки,16.9122158245112
2010,Запорізька,Чоловіки,17.201434664598683
2011,Запорізька,Чоловіки,16.336038949171623
2012,Запорізька,Чоловіки,15.933034221482403
2013,Запорізька,Чоловіки,16.027070014800074
2014,Запорізька,Чоловіки,16.90230902353461
2015,Запорізька,Чоловіки,16.937395296891481
2016,Запорізька,Чоловіки,17.425528380341419
2017,Запорізька,Чоловіки,17.351393426723867
2018,Запорізька,Чоловіки,17.583566123694013
2019,Запорізька,Чоловіки,17.563149883430423
2020,Запорізька,Чоловіки,19.041361462538614
2021,Запорізька,Чоловіки,22.326155205906993
2005,Івано-Франківська,Чоловіки,14.9154319698704
2006,Івано-Франківська,Чоловіки,14.639915302987651
2007,Івано-Франківська,Чоловіки,15.071282470696007
2008,Івано-Франківська,Чоловіки,14.513218796579586
2009,Івано-Франківська,Чоловіки,13.747011854005963
2010,Івано-Франківська,Чоловіки,13.501126891182212
2011,Івано-Франківська,Чоловіки,12.607788187925257
2012,Івано-Франківська,Чоловіки,12.807499356929528
2013,Івано-Франківська,Чоловіки,12.878418812941735
2014,Івано-Франківська,Чоловіки,13.421242857734827
2015,Івано-Франківська,Чоловіки,13.332515356241805
2016,Івано-Франківська,Чоловіки,13.002683020314297
2017,Івано-Франківська,Чоловіки,13.169651767263483
2018,Івано-Франківська,Чоловіки,13.267633403001097
2019,Івано-Франківська,Чоловіки,13.757152331158716
2020,Івано-Франківська,Чоловіки,14.927198935895113
2021,Івано-Франківська,Чоловіки,15.816695106306126
2005,Київська,Чоловіки,20.418184349967387
2006,Київська,Чоловіки,19.788638453894727
2007,Київська,Чоловіки,20.130133190176881
2008,Київська,Чоловіки,19.760665933815243
2009,Київська,Чоловіки,17.947867997464108
2010,Київська,Чоловіки,17.156131290497168
2011,Київська,Чоловіки,16.435667386362919
2012,Київська,Чоловіки,16.600582751466359
2013,Київська,Чоловіки,16.569104953210712
2014,Київська,Чоловіки,17.333412096813724
2015,Київська,Чоловіки,17.533051697032281
2016,Київська,Чоловіки,17.298299395669595
2017,Київська,Чоловіки,17.400303573892643
2018,Київська,Чоловіки,17.715237964955044
2019,Київська,Чоловіки,17.583552767339818
2020,Київська,Чоловіки,19.02806347521129
2021,Київська,Чоловіки,21.633223263336649
2005,Кіровоградська,Чоловіки,20.753550322848774
2006,Кіровоградська,Чоловіки,19.683984450682861
2007,Кіровоградська,Чоловіки,20.354638830548677
2008,Кіровоградська,Чоловіки,20.746677058360088
2009,Кіровоградська,Чоловіки,18.9061575277256
2010,Кіровоградська,Чоловіки,18.4941583729987
2011,Кіровоградська,Чоловіки,17.706209372440352
2012,Кіровоградська,Чоловіки,17.899936635452136
2013,Кіровоградська,Чоловіки,17.467807937986414
